Actor1Name,Action_menée,Actor2Name,ActionGeo_Fullname,SQLDATE,Sentiment,Type_Evènement,Impact_Evènement
GOVERNOR,Nier la responsabilité,BENIN,Benin,20250101,Négatif,Coopération verbale,Evènement déstabilisant
BENIN,Protester (non spécifié),NIGER,Benin,20250101,Négatif,Conflit verbal,Evènement très déstabilisant
NIGERIEN,Recevoir une visite officielle,BENIN,Benin,20250101,Négatif,Coopération verbale,Evènement stabilisant
BENINESE,Effectuer une visite officielle,NIGERIEN,Benin,20250101,Négatif,Coopération verbale,Evènement stabilisant
BENIN,Faire un appel ou une demande (non spécifié ailleurs),Inconnu,Benin,20250101,Négatif,Coopération verbale,Evènement stabilisant
NIGERIEN,Recevoir une visite officielle,BENINESE,Benin,20250101,Négatif,Coopération verbale,Evènement stabilisant
GOVERNOR,Nier la responsabilité,Inconnu,Benin,20250101,Négatif,Coopération verbale,Evènement déstabilisant
BENINESE,Réprimander ou blâmer,NIGERIEN,Benin,20250101,Négatif,Conflit verbal,Evènement déstabilisant
BENIN,Effectuer une visite officielle,NIGERIEN,Benin,20250101,Négatif,Coopération verbale,Evènement stabilisant
MINISTRY,Fournir une aide économique,NATIONAL ASSEMBLY,Benin,20250101,Négatif,Coopération matérielle,Evènement très stabilisant
OPERATIVE,Assaut (non spécifié),Inconnu,Benin,20250101,Négatif,Conflit matériel,Evènement très déstabilisant
BENIN,Effectuer une visite officielle,NIGERIEN,Benin,20250101,Négatif,Coopération verbale,Evènement stabilisant
BENINESE,Réprimander ou blâmer,NIGERIEN,Benin,20250101,Négatif,Conflit verbal,Evènement déstabilisant
NIGERIEN,Recevoir une visite officielle,BENIN,Benin,20250101,Négatif,Coopération verbale,Evènement stabilisant
BENINESE,Effectuer une visite officielle,NIGERIEN,Benin,20250101,Négatif,Coopération verbale,Evènement stabilisant
POLICE,Torturer,KIDNAPPER,Benin,20250101,Négatif,Conflit matériel,Evènement très déstabilisant
NIGERIEN,Recevoir une visite officielle,BENINESE,Benin,20250101,Négatif,Coopération verbale,Evènement stabilisant
SPOKESMAN,Faire une déclaration publique (non spécifié ailleurs),Inconnu,Benin,20250101,Négatif,Coopération verbale,Evènement impartial
DIPLOMAT,Consulter (non spécifié),BENINESE,Benin,20250101,Négatif,Coopération verbale,Evènement stabilisant
DIPLOMAT,Consulter (non spécifié),BENINESE,Benin,20250101,Négatif,Coopération verbale,Evènement stabilisant
BENIN,Consulter (non spécifié),NIGER,Benin,20250101,Négatif,Coopération verbale,Evènement stabilisant
SENATOR,Enquêter (non spécifié),Inconnu,Benin,20250101,Positif,Coopération matérielle,Evènement déstabilisant
NIGERIA,Faire un appel ou une demande (non spécifié ailleurs),Inconnu,Benin,20250101,Positif,Coopération verbale,Evènement stabilisant
DIPLOMAT,Consulter (non spécifié),BENINESE,Benin,20250101,Négatif,Coopération verbale,Evènement stabilisant
DIPLOMAT,Consulter (non spécifié),BENINESE,Benin,20250101,Négatif,Coopération verbale,Evènement stabilisant
BENIN,Louer ou approuver,Inconnu,Benin,20250101,Négatif,Coopération verbale,Evènement stabilisant
GOVERNANCE,Escarmouches frontalières,Inconnu,Benin,20250101,Négatif,Conflit matériel,Evènement très déstabilisant
TANZANIA,Rejeter une demande de médiation,Inconnu,Benin,20250101,Négatif,Conflit verbal,Evènement très déstabilisant
DIPLOMAT,Consulter (non spécifié),BENINESE,Benin,20250101,Négatif,Coopération verbale,Evènement stabilisant
DIPLOMAT,Consulter (non spécifié),Inconnu,Benin,20250101,Négatif,Coopération verbale,Evènement stabilisant
BENIN,Faire une déclaration publique (non spécifié ailleurs),BENIN,Benin,20250101,Négatif,Coopération verbale,Evènement impartial
DIPLOMAT,Consulter (non spécifié),BENINESE,Benin,20250101,Négatif,Coopération verbale,Evènement stabilisant
BENIN,Louer ou approuver,Inconnu,Benin,20250101,Négatif,Coopération verbale,Evènement stabilisant
BENIN,Louer ou approuver,Inconnu,Benin,20250101,Négatif,Coopération verbale,Evènement stabilisant
BENIN,Manifester ou protester (civil),BENIN,Benin,20250101,Négatif,Conflit verbal,Evènement très déstabilisant
BENIN,Faire une déclaration publique (non spécifié ailleurs),Inconnu,Benin,20250101,Négatif,Coopération verbale,Evènement impartial
BENIN,Désapprouver (non spécifié),ADMINISTRATION,Benin,20250101,Positif,Conflit verbal,Evènement déstabilisant
GOVERNOR,Louer ou approuver,BENIN,Benin,20250101,Positif,Coopération verbale,Evènement stabilisant
KAMBA,Recevoir une visite officielle,BENIN,Benin,20250101,Positif,Coopération verbale,Evènement stabilisant
BENIN,Critiquer ou condamner,ADMINISTRATION,Benin,20250101,Positif,Conflit verbal,Evènement déstabilisant
BENIN,Torturer,GOVERNMENT,Benin,20250101,Positif,Conflit matériel,Evènement très déstabilisant
GOVERNOR,Effectuer une visite officielle,KAMBA,Benin,20250101,Positif,Coopération verbale,Evènement stabilisant
BENIN,Louer ou approuver,ADMINISTRATION,Benin,20250101,Positif,Coopération verbale,Evènement stabilisant
BENIN,Effectuer une visite officielle,KAMBA,Benin,20250101,Positif,Coopération verbale,Evènement stabilisant
BENIN,Effectuer une visite officielle,KAMBA,Benin,20250101,Positif,Coopération verbale,Evènement stabilisant
BENIN,Torturer,RESIDENTS,Benin,20250101,Positif,Conflit matériel,Evènement très déstabilisant
COMMUNITY,Louer ou approuver,GOVERNOR,Benin,20250101,Positif,Coopération verbale,Evènement stabilisant
GOVERNOR,Louer ou approuver,Inconnu,Benin,20250101,Positif,Coopération verbale,Evènement stabilisant
GOVERNOR,Désapprouver (non spécifié),BENIN,Benin,20250101,Positif,Conflit verbal,Evènement déstabilisant
BENIN,Exiger la libération de prisonniers,Inconnu,Benin,20250101,Positif,Conflit verbal,Evènement très déstabilisant
GOVERNOR,Désapprouver (non spécifié),Inconnu,Benin,20250101,Positif,Conflit verbal,Evènement déstabilisant
KAMBA,Recevoir une visite officielle,BENIN,Benin,20250101,Positif,Coopération verbale,Evènement stabilisant
RESIDENTS,Louer ou approuver,KAMBA,Benin,20250101,Positif,Coopération verbale,Evènement stabilisant
GOVERNOR,Critiquer ou condamner,BENIN,Benin,20250101,Positif,Conflit verbal,Evènement déstabilisant
KAMBA,Recevoir une visite officielle,GOVERNOR,Benin,20250101,Positif,Coopération verbale,Evènement stabilisant
GOVERNOR,Critiquer ou condamner,Inconnu,Benin,20250101,Positif,Conflit verbal,Evènement déstabilisant
BENIN,Louer ou approuver,Inconnu,Benin,20250101,Positif,Coopération verbale,Evènement stabilisant
BENIN,Faire une déclaration publique (non spécifié ailleurs),NIGER,Benin,20250101,Négatif,Coopération verbale,Evènement impartial
BENIN,Faire une déclaration publique (non spécifié ailleurs),TERRORIST,Benin,20250101,Négatif,Coopération verbale,Evènement impartial
TERRORIST,Porter des accusations,BENIN,Benin,20250101,Négatif,Conflit verbal,Evènement déstabilisant
NIGER,Pardonner,BENIN,Benin,20250101,Négatif,Coopération verbale,Evènement très stabilisant
BENIN,Faire une déclaration publique (non spécifié ailleurs),TERRORIST,Benin,20250101,Négatif,Coopération verbale,Evènement impartial
BENIN,Manifester ou protester (civil),Inconnu,Benin,20250101,Négatif,Conflit verbal,Evènement très déstabilisant
BENIN,Faire une déclaration publique (non spécifié ailleurs),Inconnu,Benin,20250101,Négatif,Coopération verbale,Evènement impartial
BENIN,Consulter (non spécifié),NIGER,Benin,20250101,Négatif,Coopération verbale,Evènement stabilisant
TERRORIST,Porter des accusations,BENIN,Benin,20250101,Négatif,Conflit verbal,Evènement déstabilisant
BENIN,Pardonner,NIGER,Benin,20250101,Négatif,Coopération verbale,Evènement très stabilisant
BENIN,Réprimander ou blâmer,Inconnu,Benin,20250101,Négatif,Conflit verbal,Evènement déstabilisant
BENIN,Faire une déclaration publique (non spécifié ailleurs),Inconnu,Benin,20250101,Négatif,Coopération verbale,Evènement impartial
MEDIA,Consulter (non spécifié),MINIST OF FOREIGN AFFAIRS,Benin,20250101,Négatif,Coopération verbale,Evènement stabilisant
MINIST OF FOREIGN AFFAIRS,Consulter (non spécifié),MEDIA,Benin,20250101,Négatif,Coopération verbale,Evènement stabilisant
BENIN,Exprimer l'intention de coopérer (non spécifié),Inconnu,Benin,20250101,Négatif,Coopération verbale,Evènement stabilisant
BENIN,Consulter (non spécifié),NIGERIEN,Benin,20250101,Négatif,Coopération verbale,Evènement stabilisant
BENIN,Exprimer l'intention de coopérer (non spécifié),Inconnu,Benin,20250101,Négatif,Coopération verbale,Evènement stabilisant
DIPLOMAT,Consulter (non spécifié),BENINESE,Benin,20250101,Négatif,Coopération verbale,Evènement stabilisant
DIPLOMAT,Consulter (non spécifié),Inconnu,Benin,20250101,Négatif,Coopération verbale,Evènement stabilisant
DIPLOMAT,Consulter (non spécifié),BENINESE,Benin,20250101,Négatif,Coopération verbale,Evènement stabilisant
BENIN,Louer ou approuver,Inconnu,Benin,20250101,Négatif,Coopération verbale,Evènement stabilisant
MINISTRY,Critiquer ou condamner,Inconnu,Benin,20250102,Négatif,Conflit verbal,Evènement déstabilisant
BENIN,Faire une déclaration publique (non spécifié ailleurs),Inconnu,Benin,20250102,Négatif,Coopération verbale,Evènement impartial
BENIN,Faire une déclaration publique (non spécifié ailleurs),BENIN,Benin,20250102,Négatif,Coopération verbale,Evènement impartial
BENIN,Louer ou approuver,Inconnu,Benin,20250102,Négatif,Coopération verbale,Evènement stabilisant
BENIN,Manifester ou protester (civil),BENIN,Benin,20250102,Négatif,Conflit verbal,Evènement très déstabilisant
MINISTRY,Nier la responsabilité,Inconnu,Benin,20250102,Négatif,Coopération verbale,Evènement déstabilisant
BENIN,Invasion,GOVERNMENT,Benin,20250102,Négatif,Conflit matériel,Evènement très déstabilisant
BENIN,S'engager dans une négociation formelle,GOVERNMENT,Benin,20250102,Négatif,Coopération verbale,Evènement très stabilisant
BENIN,Porter des accusations,GOVERNMENT,Benin,20250102,Négatif,Conflit verbal,Evènement déstabilisant
GOVERNMENT,Invasion,Inconnu,Benin,20250102,Négatif,Conflit matériel,Evènement très déstabilisant
GOVERNMENT,S'engager dans une négociation formelle,Inconnu,Benin,20250102,Négatif,Coopération verbale,Evènement très stabilisant
GOVERNMENT,Invasion,BENIN,Benin,20250102,Négatif,Conflit matériel,Evènement très déstabilisant
BOSS,Rejeter une demande de médiation,Inconnu,Benin,20250102,Négatif,Conflit verbal,Evènement très déstabilisant
BENIN,Consulter (non spécifié),BENIN,Benin,20250102,Positif,Coopération verbale,Evènement stabilisant
BENIN,Faire un appel ou une demande (non spécifié ailleurs),BENIN,Benin,20250102,Positif,Coopération verbale,Evènement stabilisant
BENIN,Louer ou approuver,NIGERIA,Benin,20250102,Positif,Coopération verbale,Evènement stabilisant
BENIN,Consulter (non spécifié),Inconnu,Benin,20250102,Positif,Coopération verbale,Evènement stabilisant
DIPLOMAT,Consulter (non spécifié),BENIN,Benin,20250102,Négatif,Coopération verbale,Evènement stabilisant
DIPLOMAT,Consulter (non spécifié),Inconnu,Benin,20250102,Négatif,Coopération verbale,Evènement stabilisant
DIPLOMAT,Consulter (non spécifié),BENINESE,Benin,20250102,Négatif,Coopération verbale,Evènement stabilisant
BENIN,Louer ou approuver,Inconnu,Benin,20250102,Négatif,Coopération verbale,Evènement stabilisant
BENIN,Consulter (non spécifié),Inconnu,"Allada, Benin (general), Benin",20250102,Positif,Coopération verbale,Evènement stabilisant
BENIN,Faire un appel ou une demande (non spécifié ailleurs),Inconnu,"Allada, Benin (general), Benin",20250102,Positif,Coopération verbale,Evènement stabilisant
MILITARY,Effectuer une visite officielle,Inconnu,"Allada, Benin (general), Benin",20250102,Positif,Coopération verbale,Evènement stabilisant
BENIN,Recevoir une visite officielle,MILITARY,"Allada, Benin (general), Benin",20250102,Positif,Coopération verbale,Evènement stabilisant
CITIZEN,Céder (non spécifié),Inconnu,Benin,20250102,Positif,Coopération matérielle,Evènement stabilisant
AFRICA,Céder (non spécifié),Inconnu,Benin,20250102,Positif,Coopération matérielle,Evènement stabilisant
BENIN,Céder (non spécifié),GAMBIA,Benin,20250102,Positif,Coopération matérielle,Evènement stabilisant
BENIN,Céder (non spécifié),GAMBIA,Benin,20250102,Positif,Coopération matérielle,Evènement stabilisant
CITIZEN,Céder (non spécifié),Inconnu,Benin,20250102,Positif,Coopération matérielle,Evènement stabilisant
CITIZEN,Céder (non spécifié),Inconnu,Benin,20250102,Positif,Coopération matérielle,Evènement stabilisant
BENINESE,Réprimander ou blâmer,NIGERIEN,Benin,20250102,Négatif,Conflit verbal,Evènement déstabilisant
NIGERIEN,Recevoir une visite officielle,BENINESE,Benin,20250102,Négatif,Coopération verbale,Evènement stabilisant
NIGERIEN,Recevoir une visite officielle,BENIN,Benin,20250102,Négatif,Coopération verbale,Evènement stabilisant
STATE GOVERNOR,Exprimer l'intention de coopérer (non spécifié),NIGERIA,Benin,20250102,Négatif,Coopération verbale,Evènement stabilisant
JOURNALIST,"Utiliser des tactiques de police (gaz, canons à eau)",Inconnu,Benin,20250102,Négatif,Conflit matériel,Evènement très déstabilisant
BENIN,Effectuer une visite officielle,BENIN,Benin,20250102,Neutre,Coopération verbale,Evènement stabilisant
BENIN,Recevoir une visite officielle,Inconnu,Benin,20250102,Neutre,Coopération verbale,Evènement stabilisant
BENIN,Escarmouches frontalières,POLICEMEN,Benin,20250102,Négatif,Conflit matériel,Evènement très déstabilisant
GOVERNMENT,Escarmouches frontalières,POLICEMEN,Benin,20250102,Négatif,Conflit matériel,Evènement très déstabilisant
BENIN,Porter des accusations,Inconnu,Benin,20250102,Négatif,Conflit verbal,Evènement déstabilisant
BENIN,Critiquer ou condamner,Inconnu,Benin,20250102,Négatif,Conflit verbal,Evènement déstabilisant
BENIN,Faire une déclaration publique (non spécifié ailleurs),BENIN,Benin,20250102,Négatif,Coopération verbale,Evènement impartial
GOVERNOR,Faire une déclaration publique (non spécifié ailleurs),Inconnu,Benin,20250102,Négatif,Coopération verbale,Evènement impartial
BENIN,Critiquer ou condamner,BENIN,Benin,20250102,Négatif,Conflit verbal,Evènement déstabilisant
JUDICIARY,Faire une déclaration publique (non spécifié ailleurs),Inconnu,Benin,20250102,Négatif,Coopération verbale,Evènement impartial
BENIN,Exiger (non spécifié),SPEAKER OF THE HOUSE,Benin,20250102,Négatif,Conflit verbal,Evènement très déstabilisant
BENIN,Faire une déclaration publique (non spécifié ailleurs),GOVERNMENT,Benin,20250102,Négatif,Coopération verbale,Evènement impartial
BENIN,Porter des accusations,SECRETARIAT,Benin,20250102,Négatif,Conflit verbal,Evènement déstabilisant
GOVERNOR,Faire une déclaration publique (non spécifié ailleurs),Inconnu,Benin,20250102,Négatif,Coopération verbale,Evènement impartial
BENIN,Critiquer ou condamner,BENIN,Benin,20250102,Négatif,Conflit verbal,Evènement déstabilisant
GOVERNMENT,Faire une déclaration publique (non spécifié ailleurs),BENIN,Benin,20250102,Négatif,Coopération verbale,Evènement impartial
BENIN,Porter des accusations,POLICEMEN,Benin,20250102,Négatif,Conflit verbal,Evènement déstabilisant
GOVERNOR,Faire une déclaration publique (non spécifié ailleurs),Inconnu,Benin,20250102,Négatif,Coopération verbale,Evènement impartial
CITIZEN,Faire une déclaration publique (non spécifié ailleurs),Inconnu,Benin,20250102,Négatif,Coopération verbale,Evènement impartial
CITIZEN,Engagement matériel (non spécifié),Inconnu,Benin,20250102,Négatif,Coopération matérielle,Evènement très stabilisant
GOVERNMENT,Faire une déclaration publique (non spécifié ailleurs),BENIN,Benin,20250102,Neutre,Coopération verbale,Evènement impartial
GOVERNOR,Faire une déclaration publique (non spécifié ailleurs),Inconnu,Benin,20250102,Neutre,Coopération verbale,Evènement impartial
BENIN,Porter des accusations,SECRETARIAT,Benin,20250102,Neutre,Conflit verbal,Evènement déstabilisant
BENIN,Faire une déclaration publique (non spécifié ailleurs),GOVERNMENT,Benin,20250102,Neutre,Coopération verbale,Evènement impartial
BENIN,Faire une déclaration publique (non spécifié ailleurs),BENIN,Benin,20250102,Neutre,Coopération verbale,Evènement impartial
JUDICIARY,Faire une déclaration publique (non spécifié ailleurs),Inconnu,Benin,20250102,Neutre,Coopération verbale,Evènement impartial
BENIN,Faire une déclaration publique (non spécifié ailleurs),BENIN,Benin,20250102,Neutre,Coopération verbale,Evènement impartial
BENIN,Nier la responsabilité,GOVERNMENT,Benin,20250102,Neutre,Coopération verbale,Evènement déstabilisant
BENIN,Critiquer ou condamner,BENIN,Benin,20250102,Neutre,Conflit verbal,Evènement déstabilisant
BENIN,Critiquer ou condamner,BENIN,Benin,20250102,Neutre,Conflit verbal,Evènement déstabilisant
BENIN,Faire une déclaration publique (non spécifié ailleurs),Inconnu,Benin,20250102,Neutre,Coopération verbale,Evènement impartial
GOVERNOR,Faire une déclaration publique (non spécifié ailleurs),Inconnu,Benin,20250102,Neutre,Coopération verbale,Evènement impartial
BENIN,Critiquer ou condamner,Inconnu,Benin,20250102,Neutre,Conflit verbal,Evènement déstabilisant
POLICE,Torturer,BENIN,Benin,20250102,Négatif,Conflit matériel,Evènement très déstabilisant
POLICE,Nationaliser des biens étrangers,Inconnu,Benin,20250102,Négatif,Conflit matériel,Evènement très déstabilisant
POLICE,Nationaliser des biens étrangers,BENIN,Benin,20250102,Négatif,Conflit matériel,Evènement très déstabilisant
POLICE,Torturer,BENIN,Benin,20250102,Négatif,Conflit matériel,Evènement très déstabilisant
BENIN,Rejeter (non spécifié),Inconnu,Benin,20250102,Positif,Conflit verbal,Evènement déstabilisant
CONGRESS,Faire une déclaration publique (non spécifié ailleurs),Inconnu,Benin,20250102,Négatif,Coopération verbale,Evènement impartial
BENIN,Faire une déclaration publique (non spécifié ailleurs),Inconnu,Benin,20250103,Négatif,Coopération verbale,Evènement impartial
BENIN,Désapprouver (non spécifié),Inconnu,Benin,20250103,Négatif,Conflit verbal,Evènement déstabilisant
BENIN,Faire une déclaration publique (non spécifié ailleurs),ITALY,Benin,20250103,Négatif,Coopération verbale,Evènement impartial
BENIN,Désapprouver (non spécifié),Inconnu,Benin,20250103,Négatif,Conflit verbal,Evènement déstabilisant
BENIN,Faire une déclaration publique (non spécifié ailleurs),Inconnu,Benin,20250103,Négatif,Coopération verbale,Evènement impartial
BENIN,Engagement matériel (non spécifié),ITALY,Benin,20250103,Négatif,Coopération matérielle,Evènement très stabilisant
BENIN,Assaut (non spécifié),Inconnu,Benin,20250103,Négatif,Conflit matériel,Evènement très déstabilisant
ARSONIST,Faire une déclaration publique (non spécifié ailleurs),Inconnu,Benin,20250103,Négatif,Coopération verbale,Evènement impartial
BENIN,Faire une déclaration publique (non spécifié ailleurs),NIGERIA,Benin,20250103,Négatif,Coopération verbale,Evènement impartial
BENIN,Faire une déclaration publique (non spécifié ailleurs),Inconnu,Benin,20250103,Négatif,Coopération verbale,Evènement impartial
POLICE,Fournir une aide économique,ITALY,Benin,20250103,Négatif,Coopération matérielle,Evènement très stabilisant
BENIN,Désapprouver (non spécifié),Inconnu,Benin,20250103,Négatif,Conflit verbal,Evènement déstabilisant
ARSONIST,Faire une déclaration publique (non spécifié ailleurs),ITALY,Benin,20250103,Négatif,Coopération verbale,Evènement impartial
BENIN,Recevoir une visite officielle,AFRICA,Benin,20250103,Positif,Coopération verbale,Evènement stabilisant
AFRICA,Effectuer une visite officielle,BENIN,Benin,20250103,Positif,Coopération verbale,Evènement stabilisant
AFRICA,Effectuer une visite officielle,BENIN,Benin,20250103,Positif,Coopération verbale,Evènement stabilisant
BENIN,Recevoir une visite officielle,AFRICA,Benin,20250103,Positif,Coopération verbale,Evènement stabilisant
BENIN,Recevoir une visite officielle,AFRICA,Benin,20250103,Positif,Coopération verbale,Evènement stabilisant
AFRICA,Effectuer une visite officielle,BENIN,Benin,20250103,Positif,Coopération verbale,Evènement stabilisant
AFRICA,Effectuer une visite officielle,BENIN,Benin,20250103,Positif,Coopération verbale,Evènement stabilisant
AFRICA,Effectuer une visite officielle,BENIN,Benin,20250103,Positif,Coopération verbale,Evènement stabilisant
BENIN,Recevoir une visite officielle,AFRICA,Benin,20250103,Positif,Coopération verbale,Evènement stabilisant
BENIN,Recevoir une visite officielle,AFRICA,Benin,20250103,Positif,Coopération verbale,Evènement stabilisant
AFRICA,Effectuer une visite officielle,BENIN,Benin,20250103,Positif,Coopération verbale,Evènement stabilisant
BENIN,Recevoir une visite officielle,AFRICA,Benin,20250103,Positif,Coopération verbale,Evènement stabilisant
AFRICA,Effectuer une visite officielle,BENIN,Benin,20250103,Positif,Coopération verbale,Evènement stabilisant
BENIN,Recevoir une visite officielle,AFRICA,Benin,20250103,Positif,Coopération verbale,Evènement stabilisant
BENIN,Recevoir une visite officielle,AFRICA,Benin,20250103,Positif,Coopération verbale,Evènement stabilisant
AFRICA,Effectuer une visite officielle,BENIN,Benin,20250103,Positif,Coopération verbale,Evènement stabilisant
AFRICA,Effectuer une visite officielle,BENIN,Benin,20250103,Positif,Coopération verbale,Evènement stabilisant
BENIN,Recevoir une visite officielle,AFRICA,Benin,20250103,Positif,Coopération verbale,Evènement stabilisant
AFRICA,Effectuer une visite officielle,BENIN,Benin,20250103,Positif,Coopération verbale,Evènement stabilisant
BENIN,Recevoir une visite officielle,AFRICA,Benin,20250103,Positif,Coopération verbale,Evènement stabilisant
BENIN,Recevoir une visite officielle,AFRICA,Benin,20250103,Positif,Coopération verbale,Evènement stabilisant
BENIN,Faire un appel ou une demande (non spécifié ailleurs),Inconnu,Benin,20250103,Négatif,Coopération verbale,Evènement stabilisant
AFRICA,Effectuer une visite officielle,BENIN,Benin,20250103,Positif,Coopération verbale,Evènement stabilisant
BENIN,Fournir une aide économique,Inconnu,Benin,20250103,Négatif,Coopération matérielle,Evènement très stabilisant
BENIN,Recevoir une visite officielle,AFRICA,Benin,20250103,Positif,Coopération verbale,Evènement stabilisant
AFRICA,Effectuer une visite officielle,BENIN,Benin,20250103,Positif,Coopération verbale,Evènement stabilisant
BENIN,Fournir une aide économique,Inconnu,Benin,20250103,Négatif,Coopération matérielle,Evènement très stabilisant
AFRICA,Effectuer une visite officielle,BENIN,Benin,20250103,Positif,Coopération verbale,Evènement stabilisant
BENIN,Recevoir une visite officielle,AFRICA,Benin,20250103,Positif,Coopération verbale,Evènement stabilisant
BENIN,Recevoir une visite officielle,AFRICA,Benin,20250103,Positif,Coopération verbale,Evènement stabilisant
AFRICA,Effectuer une visite officielle,BENIN,Benin,20250103,Positif,Coopération verbale,Evènement stabilisant
BENIN,Louer ou approuver,Inconnu,Benin,20250103,Positif,Coopération verbale,Evènement stabilisant
BENIN,Louer ou approuver,COMPANY,Benin,20250103,Positif,Coopération verbale,Evènement stabilisant
BENIN,Manifester ou protester (civil),COMPANY,Benin,20250103,Positif,Conflit verbal,Evènement très déstabilisant
AFRICA,Effectuer une visite officielle,BENIN,Benin,20250103,Positif,Coopération verbale,Evènement stabilisant
BENIN,Recevoir une visite officielle,AFRICA,Benin,20250103,Positif,Coopération verbale,Evènement stabilisant
BENIN,Recevoir une visite officielle,AFRICA,Benin,20250103,Positif,Coopération verbale,Evènement stabilisant
AFRICA,Effectuer une visite officielle,BENIN,Benin,20250103,Positif,Coopération verbale,Evènement stabilisant
AFRICA,Effectuer une visite officielle,BENIN,Benin,20250103,Positif,Coopération verbale,Evènement stabilisant
BENIN,Faire un appel ou une demande (non spécifié ailleurs),Inconnu,Benin,20250103,Négatif,Coopération verbale,Evènement stabilisant
BENIN,Exprimer l'intention de coopérer (non spécifié),NIGER,Benin,20250103,Négatif,Coopération verbale,Evènement stabilisant
BENIN,Recevoir une visite officielle,AFRICA,Benin,20250103,Positif,Coopération verbale,Evènement stabilisant
MINIST,Faire une déclaration publique (non spécifié ailleurs),Inconnu,Benin,20250103,Négatif,Coopération verbale,Evènement impartial
BENIN,Recevoir une visite officielle,AFRICA,Benin,20250103,Négatif,Coopération verbale,Evènement stabilisant
AFRICA,Effectuer une visite officielle,BENIN,Benin,20250103,Négatif,Coopération verbale,Evènement stabilisant
AFRICA,Effectuer une visite officielle,VIRGINIA,Benin,20250103,Négatif,Coopération verbale,Evènement stabilisant
GHANA,Faire une déclaration publique (non spécifié ailleurs),AFRICA,Benin,20250103,Négatif,Coopération verbale,Evènement impartial
CHIEF OF STAFF,Exiger (non spécifié),BENIN,Benin,20250103,Négatif,Conflit verbal,Evènement très déstabilisant
BENIN,Recevoir une visite officielle,AFRICA,Benin,20250103,Positif,Coopération verbale,Evènement stabilisant
CONGRESS,Enquêter sur un crime ou une corruption,Inconnu,Benin,20250103,Négatif,Coopération matérielle,Evènement déstabilisant
AFRICA,Effectuer une visite officielle,BENIN,Benin,20250103,Positif,Coopération verbale,Evènement stabilisant
CHIEF OF STAFF,Menacer (non spécifié),BENIN,Benin,20250103,Négatif,Conflit verbal,Evènement déstabilisant
CONGRESS,Enquêter sur un crime ou une corruption,BENIN,Benin,20250103,Négatif,Coopération matérielle,Evènement déstabilisant
BENIN,Enquêter sur un crime ou une corruption,Inconnu,Benin,20250103,Négatif,Coopération matérielle,Evènement déstabilisant
AFRICA,Effectuer une visite officielle,BENIN,Benin,20250103,Positif,Coopération verbale,Evènement stabilisant
BENIN,Recevoir une visite officielle,AFRICA,Benin,20250103,Positif,Coopération verbale,Evènement stabilisant
AFRICA,Effectuer une visite officielle,BENIN,Benin,20250103,Positif,Coopération verbale,Evènement stabilisant
BENIN,Recevoir une visite officielle,AFRICA,Benin,20250103,Positif,Coopération verbale,Evènement stabilisant
PRESIDENT,Code inconnu (353),THE WEST AFRICAN COUNTRY,Benin,20250103,Positif,Coopération verbale,Evènement très stabilisant
BENIN,Céder (non spécifié),BENIN,Benin,20250103,Positif,Coopération matérielle,Evènement stabilisant
BENIN,Code inconnu (353),THE WEST AFRICAN COUNTRY,Benin,20250103,Positif,Coopération verbale,Evènement très stabilisant
BENIN,Code inconnu (841),AFRICA,Benin,20250103,Positif,Coopération matérielle,Evènement très stabilisant
HOUSE OF ASSEMBLY,Rejeter (non spécifié),BENIN,Benin,20250103,Négatif,Conflit verbal,Evènement déstabilisant
HOUSE OF ASSEMBLY,Louer ou approuver,Inconnu,Benin,20250103,Négatif,Coopération verbale,Evènement stabilisant
GOVERNOR,Désapprouver (non spécifié),Inconnu,Benin,20250103,Négatif,Conflit verbal,Evènement déstabilisant
GOVERNMENT,Louer ou approuver,Inconnu,Benin,20250103,Négatif,Coopération verbale,Evènement stabilisant
HOUSE OF ASSEMBLY,Rejeter (non spécifié),Inconnu,Benin,20250103,Négatif,Conflit verbal,Evènement déstabilisant
GOVERNOR,Rejeter une demande de médiation,Inconnu,Benin,20250103,Négatif,Conflit verbal,Evènement très déstabilisant
SENATOR,Porter des accusations,STATE GOVERNOR,Benin,20250103,Négatif,Conflit verbal,Evènement déstabilisant
BENIN,Porter des accusations,STATE GOVERNOR,Benin,20250103,Négatif,Conflit verbal,Evènement déstabilisant
GOVERNOR,Désapprouver (non spécifié),Inconnu,Benin,20250103,Négatif,Conflit verbal,Evènement déstabilisant
BENIN,Porter des accusations,STATE GOVERNOR,Benin,20250103,Négatif,Conflit verbal,Evènement déstabilisant
BENIN,Escarmouches frontalières,POLICEMEN,Benin,20250103,Négatif,Conflit matériel,Evènement très déstabilisant
AFRICA,Effectuer une visite officielle,BENIN,Benin,20250103,Positif,Coopération verbale,Evènement stabilisant
BENIN,Recevoir une visite officielle,AFRICA,Benin,20250103,Positif,Coopération verbale,Evènement stabilisant
HIGH COURT,Coopération diplomatique (non spécifiée),Inconnu,Benin,20250103,Négatif,Coopération verbale,Evènement stabilisant
AFRICA,Effectuer une visite officielle,BENIN,Benin,20250103,Positif,Coopération verbale,Evènement stabilisant
BENIN,Porter des accusations,Inconnu,Benin,20250103,Négatif,Conflit verbal,Evènement déstabilisant
BENIN,Recevoir une visite officielle,AFRICA,Benin,20250103,Positif,Coopération verbale,Evènement stabilisant
